20176,FN-230212-15,"Presenters build on experience conducting a 2015 Rapid Word Collection (RWC) workshop to explain using FLEx https://software.sil./fieldworks/ to gather words for a dictionary. Install FLEx before you come. Workshop outline: 1) expected results, 2) roles and logistics, 3) group semantic domain word collection, 4) debrief, Q&amp;A, referrals to lexicography resources.","Jeremiah Aviel, Brenda H. Boerger","Feb 28 and Mar 1, 2019",University of Hawai'i,http://hdl.handle.net/10125/44885,Workshop recording,,,Rapid Word Collection Workshops: Why &amp; how to do them
20190,SO-262199-19,"On the eve of the 100th anniversary of passage of the 19th Amendment, our 15th annual film festival will feature an arts education program entitle 'The Influence of Women in the Film Industry'.",Siouxland Institute of Film,8/1/19-6/30/2020,"Sioux City, IA",http://www.siouxcityfilmfest.org/siouxland-institute-of-film,,,,The Influence of Women in the Film Industry
20192,SO-262199-19,"This application requests funding from Humanities Iowa to support a half-day event to kickoff a statewide, year-long commemoration of the centennial of the ratification of the 19th Amendment to the Constitution.",Iowa State University,7/1/19-6/30/2020,"Ames, IA",https://www.iastate.edu/,,,,Hard Won. Not Done. 19th Amendment Centennial Commemoration Kickoff
20280,HB-262907-19,"There are many works on antifascism for different countries and periods, but they are generally scattered and do not provide an overall and encompassing view of the history of antifascism in Latin America. Besides, the literature on antifascism in Latin America has been frequently affected by a Eurocentric bias that has downplayed the role of local actors while overplaying the role of external factors. Seeking to establish Latin American antifascism as field of study in its own terms, the panel presentations pay attention to how different groups, in different contexts, adopted and adapted antifascism, what this term meant to them, and for what purposes they deployed it. Presentations explore the origins and evolution of antifascism in Latin America, its impact in several societies, and the legacies left by ""classic"" antifascism during the interwar period and World War II for later mobilization and resistance during the Cold War and beyond. While establishing comparisons across countries and time periods, presenters also highlight the networks in which antifascist groups operated or that they helped to create, looking at linkages and interactions across local, national, and transnational dimensions.","Jorge Nallim, Sandra McGee Deutsch","May 5-8, 2022",to take place in San Francisco,,,,,"Antifascism in Latin America, Panels 1 and 2"
20585,FT-259833-18,Showcase for workshop of methodologies for recovering the lost histories of enslaved and free Blacks in early modern Iberia.,Elizabeth Wright,10/15/2020 - 10/16/2020,"Oxford University, virtual",,,,,"The First Atlantic Slave Voyages (1444–1500): Lost Decades, New Methodologies, and an Age-Old Dilemma."
20595,FT-259833-18,"Organized three public lectures (held via videoconference), a public film screening and conversation with the filmmaker, and a roundtable on teaching at the University of Georgia from September 2020 to April 2021. The guiding theme was one that emerged from the NEH-funded research: that is, how did the growing Atlantic slave trade in the sixteenth and seventeenth centuries shape societies that emerged in the Americas and in the Mediterranean. This was presented with Mellon Foundation support.","Benjamin Ehlers, Elizabeth Wright",09-29-2020 to 04-01-2021,"University of Georgia, Willson Center for the Humanities and Arts",,,,,Global Georgia lecture and colloquium series
20597,RZ-266114-19,Video of all sessions from conference,,March 2021,,https://nmaahc.si.edu/making-african-america,,,,Making African America
20616,PW-264086-19,"In 2018 Winterthur Museum, Garden &amp; Library was awarded an NEH grant to catalogue ""overlooked organic"" objects in the collection through physical identification and analytical research. This project focuses on cataloguing a group of objects with a high standard of accuracy, acquiring information through visual and scientific analysis, research, and expert consultation. The work is a collaboration between curatorial, conservation, and scientific staff to understand findings within the craft context for each object.","Catherine Matsen, Ann Wagner, Rosie Grayburn, Lara Kaplan, Katie Lagarde",2021,Delaware,http://youtube/4B91v68UI9E,"Winterthur staff sharing a project made possible in part by the National Endowment for the Humanities at the Art Bio Matters Conference, September 2021.",http://artbiomatters.org/program-2021,"Art Bio Matters virtual conference held in September 2021 hosted by the Metropolitan Museum of Art, New York University, and the Richard Lounsbery Foundation.","Responsibly Cataloguing Overlooked Animal Organics (Ivory, Bone, Skin and Horn) in Winterthur's Decorative Arts Collections"
20633,RQ-50601-11,"This was a three-day colloquium held to discuss Morris's views on and contributions to the US Constitution and constitutional theory in general. Participants, all political scientists or historians, reviewed a compilation of Morris's writings and his contributions to the Constitutional Convention, his observations on the French Revolution and the failure of its constitution, the War of 1812 and the Hartford Convention. It was led by Prof. Dennis Rasmussen of Syracuse University. Insights gained from the publication of Morris's diaries were sought and reviewed during the discussions, and all participants left with a much deeper understanding of Morris's importance in our Founding and appreciation of his extraordinary life.",Liberty Fund Colloquium,"August 26-29, 2021",Portland Maine,https://www.libertyfund.org/conference/the-constitutional-vision-of-gouverneur-morris/,,,,Constitutional Vision of Gouverneur Morris
20634,RQ-50601-11,"This was a one-day colloquium at Georgetown Law School's Center for the Constitution, held to discuss papers regarding Gouverneur Morris's contributions to the Constitution and his life. The principal paper (and public lecture, given prior to the meeting) was by the Dean of the Lawschool, William Treanor, discussing Morris's actions during the Constitutional Convention and in the final drafting of the document. Other papers addressed Morris's views on slavery, his constitutional nationalism, his general views on human nature and politics and, in the paper by the Diaries project, the importance of documentary editing in making Morris's work accessible to scholars and the public, with examples from the diaries highlighting the significant omissions and errors in the 19th-century editions that have diminished appreciation of his genius and contributions.","Supreme Court Historical Society, Georgetown Center for the Constitution","November 17 and December 3, 2021","Washington, DC",https://www.law.georgetown.edu/constitution-center/chase-lecture-and-colloquium/chase-lecture-colloquium/,,,,Eighth Annual Salmon P. Chase Distinguished Lecture &amp; Faculty Colloquium
